,Armor,Armor Value,Config,Engine Size,Engine Type,Era,Heat Sinks,Mass,Myomer,Name,Rules Level,Source,Speeds,Structure,TechBase,Variant,Weapons
Hollander BZK-G1,Ferro-Fibrous(Inner Sphere),107,Biped,175, Fusion Engine,3056,10 Single,35,Standard,Hollander,2,TRO 3055 - Clan Invasion,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Endo Steel,Inner Sphere,BZK-G1,"['3', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'LB 10-X AC, Right Torso']]"
Talon TLN-6W,Heavy Ferro-Fibrous(Inner Sphere),119,Biped,280, XL Engine,3076,11 Double,35,Standard,Talon,2,Jihad,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,TLN-6W,"['3', ['Medium Laser, Left Arm', 'Medium Laser, Left Arm', 'Heavy PPC, Right Arm']]"
Arion (Standard),Ferro-Fibrous(Clan),48,QuadVee,210, Fusion (Clan) Engine(IS),3136,10 Laser,35,Standard,Arion,3,TRO 3145 The Clans - Late Republic,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Clan Endo Steel,Clan,(Standard),"['3', ['ER Large Laser, Center Torso', 'SRM 4, Left Torso', 'SRM 4, Right Torso']]"
Venom SDR-9KC,Ferro-Fibrous(Inner Sphere),119,Biped,280, XL Engine,3066,11 Double,35,Standard,Venom,2,TRO 3055 - Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '8'}",Endo Steel,Inner Sphere,SDR-9KC,"['3', ['Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Right Torso', 'Medium Pulse Laser, Right Torso']]"
Venom SDR-9KB,Ferro-Fibrous(Inner Sphere),80,Biped,280, XL Engine,3057,13 Single,35,Standard,Venom,2,TRO 3055 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '6'}",Standard,Inner Sphere,SDR-9KB,"['4', ['Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Right Torso', 'Machine Gun, Right Torso']]"
Panther PNT-9R,Standard(Inner Sphere),104,Biped,140, Fusion Engine,2759,13 Single,35,Standard,Panther,1,TRO 3039 - Star League,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,PNT-9R,"['2', ['PPC, Right Arm', 'SRM 4, Center Torso']]"
Cougar A,Ferro-Fibrous(Clan),105,Biped Omnimech,175, XL (Clan) Engine(IS),3058,s Heat Sinks:7,35,Standard,Cougar,2,TRO 3060,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,A,"['5', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'LRM 20, Left Torso', 'LRM 20, Right Torso', 'Small Pulse Laser, Head']]"
Panther PNT-8Z,Standard(Inner Sphere),119,Biped,140, Fusion Engine,2739,14 Single,35,Standard,Panther,1,TRO 3039 - Star League,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,PNT-8Z,"['2', ['Large Laser, Right Arm', 'SRM 4, Center Torso']]"
Owens OW-1,Standard(Inner Sphere),112,Biped Omnimech,280, XL Engine(IS),3056,s Heat Sinks:10,35,Standard,Owens,2,TRO 3058 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",IS Standard,Inner Sphere,OW-1,"['6', ['LRM 5, Left Arm', 'LRM 5, Right Arm', 'TAG, Right Torso', 'Small Laser, Center Torso', 'Small Laser, Center Torso', 'Medium Laser, Head']]"
Panther PNT-16K,Light Ferro-Fibrous,110,Biped,140, Fusion Engine,3070,10 Double,35,Standard,Panther,2,TRO 3050 - Jihad,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Endo Steel,Inner Sphere,PNT-16K,"['2', ['1 ISERPPC, Right Arm', '2 ISStreakSRM4, Center Torso, Ammo:25']]"
Spirit,Ferro-Fibrous,115,,245, XL Engine,3063,11 Double,35,Standard,Spirit,2,,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Endo Steel,Clan,(Standard),"['6', ['1 CLStreakSRM4, Right Arm, Ammo:25', '1 CLERLargeLaser, Left Arm', '1 CLLRM10, Left Arm, Ammo:12', '1 CLHeavyMediumLaser, Left Torso', '1 CLHeavySmallLaser, Left Torso', '1 CLECMSuite, Head']]"
Cougar B,Ferro-Fibrous(Clan),105,Biped Omnimech,175, XL (Clan) Engine(IS),3058,s Heat Sinks:7,35,Standard,Cougar,2,TRO 3060,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,B,"['3', ['ER PPC, Left Arm', 'ER PPC, Right Arm', 'ER Medium Laser, Head']]"
Cougar C,Ferro-Fibrous(Clan),105,Biped Omnimech,175, XL (Clan) Engine(IS),3058,s Heat Sinks:7,35,Standard,Cougar,2,TRO 3060,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,C,"['6', ['Gauss Rifle, Left Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Head']]"
Venom SDR-9KA,Ferro-Fibrous(Inner Sphere),98,Biped,280, XL Engine,3056,12 Single,35,Standard,Venom,2,TRO 3055 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '8'}",Standard,Inner Sphere,SDR-9KA,"['3', ['Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Right Torso']]"
Venom SDR-9K,Ferro-Fibrous(Inner Sphere),62,Biped,280, XL Engine,3050,12 Single,35,Standard,Venom,2,TRO 3055 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '8'}",Standard,Inner Sphere,SDR-9K,"['4', ['Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Right Torso', 'Medium Pulse Laser, Right Torso']]"
Spector SPR-5S,Stealth(Inner Sphere),119,Biped,245, XL Engine,3067,11 Double,35,Standard,Spector,2,TRO 3058 - Civil War,"{'Walk': 7, 'Run': 11, 'Jump': '7'}",Endo Steel,Inner Sphere,SPR-5S,"['3', ['Medium Pulse Laser, Left Arm', 'Large Laser, Right Arm', 'Small Laser, Head']]"
Spector SPR-ST,Stealth(Inner Sphere),119,Biped,245, XL Engine,3068,11 Double,35,Standard,Spector,2,TRO 3058 - Jihad,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Endo Steel,Inner Sphere,SPR-ST,"['3', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Left Arm', 'ER Large Laser, Right Arm']]"
Panther PNT-10K,Standard Armor,104,Biped,140, Fusion Engine,3051,13 Single,35,Standard,Panther,2,TRO 3050 - Clan Invasion,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Endo Steel,Inner Sphere,PNT-10K,"['2', ['1 ISERPPC, Right Arm', '1 ISSRM4, Center Torso, Ammo:25']]"
Panther PNT-10K2,Standard(Inner Sphere),104,Biped,140, Fusion Engine(IS),3074,12 Double,35,Standard,Panther,2,Dark Age,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Endo Steel,Inner Sphere,PNT-10K2,"['3', ['ER PPC, Right Arm', 'SRM 4, Center Torso', 'SRM 4, Center Torso']]"
Panther PNT-14S,Standard,112,Biped,140, Fusion Engine,3069,13 Single,35,Standard,Panther,2,TRO 3050 - Jihad,"{'Walk': 4, 'Run': 6, 'Jump': '6'}",Endo Steel,Inner Sphere,PNT-14S,"['2', ['1 ISSNPPC, Right Arm', '2 ISRocketLauncher15, Left Torso']]"
Panther PNT-10KA,Standard(Inner Sphere),104,Biped,140, Fusion Engine(IS),3055,13 Single,35,Standard,Panther,2,TRO 3050 - Clan Invasion,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",IS Endo-Steel,Inner Sphere,PNT-10KA,"['2', ['SRM 4, Center Torso', 'PPC, Right Arm']]"
Panther PNT-12A,Standard Armor,119,Biped,140, Fusion Engine,3064,10 Double,35,Standard,Panther,2,TRO 3050 - Civil War,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Endo Steel,Inner Sphere,PNT-12A,"['3', ['1 ISERLargeLaser, Right Arm', '1 ISStreakSRM4, Center Torso, Ammo:25', '1 ISMediumPulseLaser, Center Torso']]"
Spector SPR-4F,Standard(Inner Sphere),119,Biped,245, XL Engine,2640,10 Double,35,Standard,Spector,4,TRO 3058 - Star League,"{'Walk': 7, 'Run': 11, 'Jump': '7'}",Standard,Inner Sphere,SPR-4F,"['3', ['Medium Laser, Left Arm', 'Medium Laser, Left Arm', 'Large Laser, Right Arm']]"
Spirit 2,Ferro-Fibrous,115,Biped,245, XL Fusion Engine,3068,10 Double,35,Standard,Spirit,2,,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Endo-Steel,Clan,2,"['2', ['1 CLATM12, Left Arm, Ammo:15', '1 CLERLargeLaser, Left Arm']]"
Silver Fox SVR-5X,Reflective(Inner Sphere),112,Biped,315, XXL Engine,3065,10 Double,35,Standard,Silver Fox,4,TRO 3055 - Civil War,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Standard,Inner Sphere,SVR-5X,"['8', ['Magshot, Left Arm', 'Magshot, Left Arm', 'Magshot, Left Arm', 'Magshot, Left Arm', 'Magshot, Left Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm', 'ER Small Laser, Head']]"
Owens OW-1R,Standard(Inner Sphere),112,Biped Omnimech,280, XL Engine(IS),3059,s Heat Sinks:10,35,Standard,Owens,4,TRO 3058 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",IS Standard,Mixed (IS Chassis),OW-1R,"['5', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'MRM 10, Right Torso', 'TAG, Right Torso', 'ER Medium Laser, Head']]"
Owens OW-1C,Standard(Inner Sphere),112,Biped Omnimech,280, XL Engine(IS),3056,s Heat Sinks:10,35,Standard,Owens,2,TRO 3058 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",IS Standard,Inner Sphere,OW-1C,"['4', ['Large Laser, Left Arm', 'Medium Laser, Right Arm', 'Medium Laser, Right Arm', 'TAG, Right Torso']]"
Cougar E,Ferro-Fibrous(Clan),105,Biped Omnimech,175, XL (Clan) Engine(IS),3063,s Heat Sinks:7,35,Standard,Cougar,2,TRO 3060,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,E,"['5', ['ATM 6, Left Arm', 'ATM 6, Right Arm', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso', 'ER Medium Laser, Head']]"
Cougar D,Ferro-Fibrous(Clan),105,Biped Omnimech,175, XL (Clan) Engine(IS),3058,s Heat Sinks:7,35,Standard,Cougar,2,TRO 3060,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,D,"['4', ['ER Large Laser, Left Arm', 'Ultra AC/10, Right Arm', 'SRM 4, Left Torso', 'SRM 4, Right Torso']]"
Stiletto STO-6S,Ferro-Fibrous(Inner Sphere),116,Biped,245, Fusion Engine(IS),3083,10 Double,35,Standard,Stiletto,4,,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Endo Steel,Inner Sphere,STO-6S,"['4', ['ER Medium Laser, Left Torso', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso', 'ER Medium Laser, Right Torso']]"
Stiletto STO-4C,Ferro-Fibrous,116,Biped,280, Light Fusion Engine,3076,10 Double,35,Standard,Stiletto,2,,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo-Steel,Inner Sphere,STO-4C,"['3', ['1 ISERMediumLaser, Right Arm', '1 ISERMediumLaser, Left Arm', '1 ISMML5, Left Torso, Ammo:72']]"
Stiletto STO-4B,Ferro-Fibrous(Inner Sphere),98,Biped,280, Light Engine(IS),3063,10 Double,35,Standard,Stiletto,2,,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,STO-4B,"['4', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'ER Large Laser, Right Torso', 'Flamer, Center Torso']]"
Stiletto STO-4A,Ferro-Fibrous(Inner Sphere),107,Biped,280, Light Engine(IS),3061,10 Double,35,Standard,Stiletto,2,RS 3067U,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,STO-4A,"['3', ['Streak SRM 2, Left Arm', 'Streak SRM 2, Right Arm', 'LRM 5, Center Torso']]"
Owens OW-1D,Standard(Inner Sphere),112,Biped Omnimech,280, XL Engine(IS),3056,s Heat Sinks:10,35,Standard,Owens,2,TRO 3058 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",IS Standard,Inner Sphere,OW-1D,"['3', ['Narc, Left Arm', 'SRM 4, Right Arm', 'TAG, Right Torso']]"
Owens OW-1E,Standard(Inner Sphere),112,Biped Omnimech,280, XL Engine(IS),3060,s Heat Sinks:10,35,Standard,Owens,2,TRO 3058 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",IS Standard,Inner Sphere,OW-1E,"['4', ['Medium Pulse Laser, Left Arm', 'Medium Laser, Left Arm', 'MRM 10, Right Arm', 'TAG, Right Torso']]"
Owens OW-1F,Standard(Inner Sphere),112,Biped Omnimech,280, XL Engine(IS),3076,s Heat Sinks:10,35,Standard,Owens,2,TRO 3058 - Jihad,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",IS Standard,Inner Sphere,OW-1F,"['4', ['ER Small Laser, Left Arm', 'ER Small Laser, Right Arm', 'TAG, Right Torso', 'Light PPC, Center Torso']]"
Owens OW-1A,Standard(Inner Sphere),112,Biped Omnimech,280, XL Engine(IS),3056,s Heat Sinks:10,35,Standard,Owens,2,TRO 3058 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",IS Standard,Inner Sphere,OW-1A,"['6', ['Streak SRM 2, Left Arm', 'Streak SRM 2, Right Arm', 'TAG, Right Torso', 'Machine Gun, Center Torso', 'Machine Gun, Center Torso', 'Small Pulse Laser, Head']]"
Owens OW-1B,Standard(Inner Sphere),112,Biped Omnimech,280, XL Engine(IS),3056,s Heat Sinks:10,35,Standard,Owens,2,TRO 3058 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",IS Standard,Inner Sphere,OW-1B,"['6', ['Small Laser, Left Arm', 'Small Laser, Left Arm', 'Small Laser, Left Arm', 'SRM 6, Right Arm', 'TAG, Right Torso', 'Small Laser, Head']]"
Panther PNT-12K2,Standard(Inner Sphere),119,Biped,140, Fusion Engine(IS),3074,12 Double,35,Standard,Panther,2,Dark Age,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Endo Steel,Inner Sphere,PNT-12K2,"['2', ['ER PPC, Right Arm', 'MRM 10, Center Torso']]"
Panther PNT-CA,Standard(Inner Sphere),104,Biped,140, Fusion Engine(IS),3055,13 Single,35,Standard,Panther,2,TRO 3050 - Clan Invasion,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",IS Endo-Steel,Inner Sphere,PNT-CA,"['2', ['PPC, Right Arm', 'SRM 4, Center Torso']]"
Cougar F,Ferro-Fibrous(Clan),105,Biped Omnimech,175, XL (Clan) Engine(IS),3071,s Heat Sinks:7,35,Standard,Cougar,2,TRO 3060,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Clan Endo Steel,Clan,F,"['16', ['Medium Pulse Laser, Left Arm', 'Heavy Machine Gun, Left Arm', 'Heavy Machine Gun, Left Arm', 'Heavy Machine Gun, Left Arm', 'Heavy Machine Gun, Left Arm', 'Heavy Machine Gun Array, Left Arm', 'Medium Pulse Laser, Right Arm', 'Heavy Machine Gun, Right Arm', 'Heavy Machine Gun, Right Arm', 'Heavy Machine Gun, Right Arm', 'Heavy Machine Gun, Right Arm', 'Heavy Machine Gun Array, Right Arm', 'B-Pod, Left Torso', 'Streak SRM 4, Right Torso', 'B-Pod, Right Torso', 'Medium Pulse Laser, Head']]"
Cougar G,Ferro-Fibrous(Clan),105,Biped,175, XL (Clan) Engine,3071,10 Double,35,Standard,Cougar,2,TRO 3060,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Endo Steel,Clan,G,"['4', ['LRM 5, Left Arm', 'LRM 5, Left Arm', 'HAG/20, Right Arm', 'ER Large Laser, Head']]"
Cougar H,Ferro-Fibrous(Clan),105,Biped Omnimech,175, XL (Clan) Engine(IS),3061,s Heat Sinks:7,35,Standard,Cougar,2,TRO 3060,"{'Walk': 5, 'Run': 8, 'Jump': '4'}",Clan Endo Steel,Clan,H,"['4', ['Ultra AC/5, Left Arm', 'Heavy Medium Laser, Right Arm', 'Heavy Medium Laser, Right Arm', 'Heavy Medium Laser, Right Arm']]"
Cougar Prime,Ferro-Fibrous(Clan),105,Biped Omnimech,175, XL (Clan) Engine(IS),3058,s Heat Sinks:7,35,Standard,Cougar,2,TRO 3060,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,Prime,"['4', ['Large Pulse Laser, Left Arm', 'Large Pulse Laser, Right Arm', 'LRM 10, Left Torso', 'LRM 10, Right Torso']]"
Ostscout OTT-9S,Ferro-Fibrous(Inner Sphere),71,Biped,280, Light Engine(IS),3065,10 Single,35,Standard,Ostscout,2,Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '8'}",Endo Steel,Inner Sphere,OTT-9S,"['3', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'TAG, Head']]"
Talon TLN-5Z,Ferro-Fibrous(Inner Sphere),119,Biped,245, Light Engine,3062,10 Double,35,Standard,Talon,2,TRO 3058 - Civil War,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Endo Steel,Inner Sphere,TLN-5Z,"['2', ['ER Large Laser, Left Arm', 'ER Large Laser, Right Arm']]"
Talon TLN-5W,Standard(Inner Sphere),119,Biped,280, XL Engine,2760,11 Double,35,Standard,Talon,2,TRO 3058 - Star League,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,TLN-5W,"['3', ['Medium Laser, Left Arm', 'Medium Laser, Left Arm', 'ER PPC, Right Arm']]"
Talon TLN-5V,Standard(Inner Sphere),119,Biped,280, XL Engine,2670,11 Double,35,Standard,Talon,2,TRO 3058 - Star League,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,TLN-5V,"['3', ['Medium Laser, Left Arm', 'Medium Laser, Left Arm', 'PPC, Right Arm']]"
Wight WGT-1LAWSC,Heavy Ferro-Fibrous,109,Biped,175, Compact Engine,3069,10 Double,35,Standard,Wight,2,TRO 3075,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Endo Steel,Inner Sphere,WGT-1LAW/SC,"['3', ['Heavy PPC, Right Torso', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Left Torso']]"
Cicada CDA-3F,Ferro-Fibrous,116,Biped,320, XL Engine,3052,10 Double,40,Standard,Cicada,2,TRO 3050 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '8'}",Endo Steel,Inner Sphere,CDA-3F,"['3', ['1 ISMediumLaser, Right Torso', '1 ISMediumLaser, Left Torso', '1 ISERPPC, Left Torso']]"
Cicada CDA-3G,Ferro-Fibrous,125,Biped,320, XL Engine,3056,10 Double,40,Standard,Cicada,2,TRO 3050 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '8'}",Endo Steel,Inner Sphere,CDA-3G,"['4', ['1 ISMediumLaser, Right Torso', '1 ISBeagleActiveProbe, Right Torso', '1 ISERLargeLaser, Left Torso', '1 ISMediumLaser, Left Torso']]"
Clint CLNT-2-4T,Standard(Inner Sphere),72,Biped,240, Fusion Engine,2610,10 Single,40,Standard,Clint,1,TRO 3039 - Star League,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Standard,Inner Sphere,CLNT-2-4T,"['3', ['Medium Laser, Center Torso', 'Autocannon/2, Right Arm', 'Autocannon/2, Right Arm']]"
Cicada CDA-3P,Standard,128,Biped,280, XL Engine,3070,10 Double,40,Standard,Cicada,2,TRO 3050 - Jihad,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Standard,Inner Sphere,CDA-3P,"['4', ['1 ISERMediumLaser, Right Torso', '1 ISHeavyPPC, Left Torso', '1 ISERMediumLaser, Left Torso', '2 ISERMediumLaser, Center Torso']]"
Clint CLNT-2-3T,Standard(Inner Sphere),72,Biped,240, Fusion Engine,2608,10 Single,40,Standard,Clint,1,TRO 3039 - Star League,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,CLNT-2-3T,"['3', ['Medium Laser, Left Torso', 'Medium Laser, Center Torso', 'Autocannon/5, Right Arm']]"
Clint CLNT-2-3UL,Standard,72,Biped,240, Fusion Engine,3069,10 Double,40,Standard,Clint,2,TRO 3050 - Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,CLNT-2-3UL,"['3', ['1 ISPlasmaRifle, Right Arm, Ammo:30', '1 ISERMediumLaser, Left Torso', '1 ISERMediumLaser, Center Torso']]"
Cicada CDA-3M,Standard Armor,64,Biped,320, XL Engine,3049,10 Single,40,Standard,Cicada,2,TRO 3050 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,CDA-3M,"['4', ['1 ISMediumLaser, Left Torso', '1 ISMediumLaser, Right Torso', '1 ISUltraAC5, Left Torso, Ammo:20', '1 ISSmallPulseLaser, Center Torso']]"
Clint CLNT-2-3U,Standard Armor,72,Biped,240, Fusion Engine,3050,10 Double,40,Standard,Clint,2,TRO 3050 - Clan Invasion,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,CLNT-2-3U,"['3', ['1 ISERPPC, Right Arm', '1 ISMediumPulseLaser, Left Torso', '1 ISMediumPulseLaser, Center Torso']]"
Clint CLNT-2-3T Denton,Standard(Inner Sphere),72,Biped,240, Fusion Engine,3033,14 Single,40,Standard,Clint,1,TRO 3039 - Succession Wars,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,CLNT-2-3T (Denton),"['3', ['Medium Laser, Center Torso', 'Medium Laser, Left Torso', 'Large Laser, Right Arm']]"
Cicada CDA-3MA,Standard,136,Biped,320, XL Engine,3068,10 Double,40,Standard,Cicada,2,TRO 3050 - Jihad,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,CDA-3MA,"['4', ['1 ISMediumLaser, Right Torso', '1 ISSNPPC, Left Torso', '1 ISMediumLaser, Left Torso', '1 ISSmallPulseLaser, Center Torso']]"
Clint CLNT-1-2R,Standard(Inner Sphere),72,Biped,240, Fusion Engine,2607,10 Single,40,Standard,Clint,1,TRO 3039 - Star League,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Standard,Inner Sphere,CLNT-1-2R,"['2', ['Medium Laser, Center Torso', 'Autocannon/10, Right Arm']]"
Clint CLNT-5U,Standard Armor,128,Biped,240, Light Engine,3062,12 Double,40,Standard,Clint,2,TRO 3050 - Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,CLNT-5U,"['5', ['1 ISERLargeLaser, Right Arm', '2 ISERMediumLaser, Left Torso', '1 ISC3SlaveUnit, Left Torso', '1 ISERMediumLaser, Center Torso', '1 ISTAG, Center Torso']]"
Pouncer H,Ferro-Fibrous(Clan),115,Biped Omnimech,240, XL (Clan) Engine(IS),3062,s Heat Sinks:9,40,Standard,Pouncer,2,TRO 3055 - Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '5'}",Clan Endo Steel,Clan,H,"['7', ['Heavy Medium Laser, Left Arm', 'Heavy Medium Laser, Left Arm', 'Heavy Small Laser, Left Arm', 'Heavy Medium Laser, Right Arm', 'Heavy Medium Laser, Right Arm', 'Streak SRM 6, Left Torso', 'Streak SRM 6, Right Torso']]"
Corvis,Ferro-Fibrous(Clan),134,Biped,160, Fusion (Clan) Engine,2845,10 Double,40,Standard,Corvis,2,TRO 3060,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Endo Steel,Clan,(Standard),"['3', ['Ultra AC/10, Right Arm', 'Medium Pulse Laser, Left Arm', 'Medium Pulse Laser, Left Arm']]"
Icarus II ICR-2S,Ferro-Fibrous,134,Biped,200, XL Engine,3073,11 Single,40,Standard,Icarus II,2,TRO 3075,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Standard,Inner Sphere,ICR-2S,"['3', ['Medium Pulse Laser, Right Torso', 'Small Laser, Left Arm', 'LB 10-X AC, Left Arm']]"
Assassin ASN-99,Stealth Armor,128,Biped,280, XL Fusion Engine,3068,10 Double,40,Standard,Assassin,2,TRO 3050 - Jihad,"{'Walk': 7, 'Run': 11, 'Jump': '7'}",Standard,Inner Sphere,ASN-99,"['6', ['1 ISLightPPC, Right Arm', '1 ISSRM2, Right Torso, Ammo:50', '1 ISSRM2, Left Torso', '1 ISTAG, Head', '1 ISGuardianECM, Left Torso', '1 Sword, Left Arm']]"
Assassin Alice,Ferro-Fibrous,134,Biped,280, Light Fusion Engine,3066,10 Double,40,Standard,Assassin,2,,"{'Walk': 7, 'Run': 11, 'Jump': '7'}",Endo-Steel,Inner Sphere,ASN-30 (Alice),"['7', ['1 ISERMediumLaser, Left Torso', '1 ISERMediumLaser, Right Torso', '1 ISERMediumLaser, Right Arm', '1 ISERMediumLaser, Right Arm', '1 ISBeagleActiveProbe, Left Torso', '1 ISC3SlaveUnit, Head', '1 ISGuardianECM, Right Torso']]"
Assassin Servitor,Standard(Inner Sphere),128,Biped,280, XL Engine(IS),3066,10 Double,40,Standard,Assassin,4,TRO 3050 - Civil War,"{'Walk': 7, 'Run': 11, 'Jump': '7'}",IS Standard,Inner Sphere,'Servitor',"['6', ['Small X-Pulse Laser, Left Leg', 'Small X-Pulse Laser, Right Leg', 'Medium X-Pulse Laser, Right Arm', 'SRM 2, Left Torso', 'SRM 2, Right Torso', 'Small Laser, Head']]"
Whitworth WTH-1S,Standard(Inner Sphere),128,Biped,160, Fusion Engine,2610,14 Single,40,Standard,Whitworth,1,TRO 3039 - Star League,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,WTH-1S,"['5', ['Medium Laser, Left Arm', 'Medium Laser, Head', 'Medium Laser, Right Arm', 'SRM 6, Left Torso', 'SRM 6, Right Torso']]"
Whitworth WTH-1H,Standard Armor,128,Biped,160, Fusion Engine,3066,14 Single,40,Standard,Whitworth,2,TRO 3050 - Civil War,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,WTH-1H,"['5', ['1 ISMediumLaser, Right Arm', '1 ISMediumLaser, Left Arm', '8 ISRocketLauncher10, Right Torso', '1 ISSRM6, Left Torso, Ammo:15', '1 ISMediumLaser, Head']]"
Whitworth WTH-1,Standard(Inner Sphere),128,Biped,160, Fusion Engine,2689,10 Single,40,Standard,Whitworth,1,TRO 3039 - Star League,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,WTH-1,"['5', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'Medium Laser, Head', 'LRM 10, Left Torso', 'LRM 10, Right Torso']]"
Whitworth WTH-0,Standard(Inner Sphere),128,Biped,160, Fusion Engine,2754,14 Single,40,Standard,Whitworth,1,TRO 3039 - Star League,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,WTH-0,"['5', ['Medium Laser, Right Arm', 'Flamer, Left Arm', 'Medium Laser, Head', 'SRM 6, Left Torso', 'SRM 6, Right Torso']]"
